gene_id,gene_id,Ind1,Ind2,Ind3,Ind4,Ind5,Ind6,Ind7,Ind8,Ind9,Ind10,Ind11,Ind12,Ind13,Ind14,Ind15,Ind16,Ind17,Ind18,Ind19,Ind20,Ind21,Ind22,Ind23,Ind24,Ind25,Ind26,Ind27,Ind28,Ind29,Ind30,Ind31,Ind32,Ind33,Ind34,Ind35,Ind36,Ind37,Ind38,Ind39,Ind40,Ind41,Ind42,Ind43,Ind44,Ind45,Ind46,Ind47,Ind48,Ind49,Ind50,Ind51,Ind52,Ind53,Ind54,Ind55,Ind56,Ind57,Ind58,Ind59,Ind60,Ind61,Ind62,Ind63,Ind64,Ind65,Ind66,Ind67,Ind68,Ind69,Ind70,Ind71,Ind72,Ind73,Ind74,Ind75,Ind76,Ind77,Ind78,Ind79,Ind80,Ind81,Ind82,Ind83,Ind84,Ind85,Ind86,Ind87,Ind88,Ind89,Ind90,Ind91,Ind92,Ind93,Ind94,Ind95,Ind96,Ind97,Ind98,Ind99,Ind100
Gene010,1,0,2,2,1,2,2,2,2,0,1,2,2,0,2,1,0,1,1,0,0,1,2,1,2,0,1,1,2,0,0,1,1,2,0,0,1,1,0,0,1,0,1,0,1,2,0,0,1,0,2,1,2,1,2,0,1,2,1,1,0,0,0,1,2,0,0,2,2,2,0,2,1,2,0,1,1,2,2,2,0,2,0,0,0,2,2,2,1,0,0,1,2,0,0,2,1,1,1,1,
Gene011,2,0,1,1,1,0,1,2,2,0,0,2,0,1,0,1,1,1,1,2,2,2,2,1,1,1,0,2,2,0,2,2,2,0,1,1,2,2,1,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,2,1,2,0,1,0,2,2,2,0,1,2,2,0,0,2,0,2,2,0,0,2,1,1,0,0,1,2,0,2,2,1,1,0,1,2,2,0,1,0,2,1,1,
Gene012,0,1,2,2,2,2,2,2,1,1,0,0,1,0,2,2,0,1,2,0,1,1,0,2,0,2,2,2,0,1,1,0,1,0,1,0,2,0,2,1,2,1,2,0,1,2,2,1,0,0,1,1,2,2,0,0,0,1,0,0,1,2,1,2,1,0,0,0,0,1,2,2,2,1,1,1,0,2,2,2,2,0,0,1,1,0,1,1,0,2,1,0,0,1,1,0,0,2,1,2,
Gene013,2,0,1,0,0,0,1,2,1,1,1,2,2,0,0,1,2,1,0,1,1,1,0,1,0,2,1,0,2,0,1,2,1,0,1,1,2,0,1,2,0,0,2,2,0,2,1,2,0,1,1,2,0,2,0,1,1,1,0,2,0,1,1,0,0,2,0,2,0,0,0,2,0,2,2,2,1,2,0,2,1,0,2,2,1,0,2,2,2,0,2,1,1,1,0,0,2,1,1,2,
Gene014,2,2,1,2,1,2,0,0,0,1,2,2,1,0,1,2,1,1,1,2,0,0,1,2,2,1,0,0,1,2,2,1,1,0,1,2,2,2,1,0,1,0,0,2,2,1,1,1,2,2,2,0,1,0,0,0,1,2,0,1,2,1,1,2,2,0,0,1,2,0,1,2,2,2,0,0,0,1,0,2,1,0,2,0,2,2,0,1,1,0,1,0,0,0,1,0,0,1,0,2,
Gene015,2,1,2,0,2,1,0,1,1,1,2,2,2,0,2,0,2,1,0,2,1,2,1,1,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,2,0,2,0,0,1,2,2,0,0,1,2,2,0,2,0,2,2,0,2,1,0,1,0,1,1,2,2,2,1,2,0,2,0,2,1,1,1,2,2,2,1,2,1,1,0,0,1,1,2,1,2,1,1,1,0,0,1,0,0,0,
Gene016,1,0,0,0,2,0,1,0,1,2,2,1,0,2,1,0,2,0,2,0,0,0,2,0,2,1,1,0,2,1,2,2,2,0,0,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1,2,0,0,0,2,2,2,1,2,1,1,2,2,1,1,0,1,1,1,2,0,0,1,2,0,1,0,2,0,0,2,2,0,2,2,1,0,0,0,1,1,1,0,2,0,1,0,0,0,1,
Gene017,0,2,0,1,2,0,1,2,1,1,0,2,0,2,1,2,1,0,0,2,1,0,0,1,1,0,2,2,2,1,0,0,1,1,0,1,0,2,0,1,0,0,0,0,2,0,1,1,1,2,0,0,2,2,2,2,1,2,1,0,2,2,0,2,2,0,2,1,1,1,2,0,1,2,1,2,2,2,0,0,2,1,1,1,2,1,1,2,0,2,0,0,0,2,1,1,0,1,0,1,
Gene018,0,1,0,0,0,0,2,2,0,2,2,0,1,2,1,1,1,0,2,1,1,0,0,2,0,1,2,2,0,1,0,0,1,2,0,2,2,1,1,1,1,1,1,0,2,2,1,0,0,2,2,2,2,1,0,1,1,1,0,2,2,2,1,1,0,2,0,1,1,2,0,1,0,1,0,2,1,0,2,0,2,2,0,1,2,2,2,0,0,0,2,1,2,0,1,0,2,1,0,1,
Gene019,2,1,2,2,1,0,1,0,1,0,0,2,2,1,2,1,2,1,0,1,0,2,2,0,1,0,2,0,2,2,1,1,1,1,1,2,1,1,2,2,0,2,1,1,0,2,0,1,0,1,1,0,0,0,0,2,0,1,0,0,2,0,2,1,1,0,1,0,2,0,0,2,0,1,0,2,0,0,2,0,2,1,1,1,2,2,1,1,0,1,2,2,2,0,1,2,2,0,2,0,
Gene020,2,2,0,1,2,0,1,1,1,1,1,2,0,2,1,2,0,2,1,1,1,0,0,1,0,0,0,0,2,1,0,1,1,2,1,2,0,1,0,2,2,1,2,0,0,1,2,0,0,2,0,2,1,0,0,2,2,0,1,2,0,1,1,2,0,2,1,2,2,0,0,0,1,2,2,2,1,1,0,0,0,0,0,1,2,2,1,1,2,2,0,2,1,0,0,1,1,2,2,1,
Gene021,0,0,0,2,1,2,1,2,1,1,1,1,0,0,2,2,2,0,0,1,0,2,1,2,1,2,1,0,2,2,2,1,0,0,1,2,2,0,2,0,1,1,1,0,1,1,2,1,2,0,0,0,0,1,1,2,2,0,2,2,0,1,2,0,1,2,1,1,0,0,1,2,0,2,1,2,1,2,2,2,0,1,1,0,1,0,2,2,2,0,0,0,1,0,1,0,2,0,1,0,
Gene022,0,1,0,2,1,0,0,2,1,0,2,0,2,0,1,1,1,1,1,1,2,0,0,1,0,1,0,1,2,1,0,1,0,2,2,0,1,0,2,1,2,2,0,0,0,1,1,0,0,1,2,1,0,0,1,0,2,2,0,1,0,2,0,1,2,2,1,0,1,1,1,0,2,2,1,2,2,0,2,0,1,2,2,1,0,1,2,0,2,2,2,2,1,2,2,2,0,0,2,1,
Gene023,1,0,2,1,0,1,2,1,1,1,0,0,2,2,1,1,0,0,1,2,0,2,0,0,0,1,1,1,2,0,2,2,1,1,0,2,0,2,2,1,2,1,2,1,1,0,1,2,0,2,0,1,1,0,0,0,2,2,0,0,2,1,1,0,1,0,2,2,2,0,0,0,2,2,1,0,0,2,2,2,1,1,1,0,1,0,2,2,0,1,1,0,1,0,0,2,1,2,2,2,
Gene024,0,0,2,2,2,0,2,2,0,2,0,2,2,2,1,1,0,2,2,0,1,0,1,1,0,1,1,0,1,2,1,1,0,0,0,0,2,0,1,2,2,2,1,1,1,1,2,2,0,0,2,1,1,2,0,1,2,1,1,0,2,1,2,1,1,1,0,2,2,1,0,1,2,2,2,0,2,1,1,0,1,2,2,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,1,
Gene025,2,2,0,0,2,2,2,2,2,1,2,1,0,0,1,2,2,0,1,1,2,1,1,1,2,0,0,1,2,0,2,1,1,1,2,0,2,0,2,1,2,0,2,1,0,2,2,2,2,1,1,0,2,0,1,0,1,2,1,0,0,0,1,0,0,1,0,2,1,2,0,1,0,0,2,1,0,0,0,1,2,0,0,0,1,1,0,2,1,2,2,1,1,0,1,0,0,1,1,2,
Gene026,0,1,2,1,0,2,0,2,0,1,1,0,2,1,0,1,0,0,1,1,2,1,1,1,0,0,2,1,2,2,2,2,0,1,1,2,2,1,0,2,2,2,0,2,1,0,2,2,0,2,1,1,0,0,2,1,0,2,1,2,1,1,0,2,0,0,1,1,2,1,1,0,2,0,1,2,0,0,2,2,0,2,2,0,0,1,1,0,2,1,1,2,0,1,2,0,1,0,0,0,
Gene027,1,0,0,2,2,0,1,2,1,1,2,1,2,0,1,0,1,0,2,2,2,2,0,0,0,1,1,1,2,0,2,1,2,2,0,2,0,0,2,1,0,1,2,2,0,1,2,2,2,0,1,1,2,2,0,1,0,0,1,0,1,0,1,2,0,0,2,1,0,1,0,0,2,2,1,2,0,0,1,2,1,0,1,1,0,0,1,2,2,0,2,1,1,2,2,1,1,1,0,0,
Gene028,0,1,1,1,0,0,2,1,2,2,2,0,2,1,0,0,0,1,0,0,1,1,0,1,1,2,0,1,2,2,2,1,0,1,1,2,0,2,1,2,1,2,0,1,1,2,0,1,1,2,2,1,0,2,2,0,1,1,0,0,2,0,0,0,0,1,2,2,0,1,2,2,2,1,2,0,0,0,1,0,1,2,2,0,1,1,2,1,2,0,2,2,0,0,1,0,1,2,0,2,
Gene029,2,2,0,1,0,0,0,2,1,1,0,0,1,1,2,1,0,1,1,0,2,2,2,0,0,2,1,1,2,2,2,2,0,1,1,0,0,2,1,0,1,1,2,0,0,0,0,1,2,1,1,0,1,2,2,0,0,0,2,2,0,1,2,1,2,2,2,0,1,0,0,1,0,2,2,0,2,1,0,1,2,1,0,1,0,1,2,1,2,2,2,2,0,0,1,0,1,1,1,2,
Gene030,2,1,2,0,2,1,0,0,1,0,1,0,2,0,1,1,1,0,1,1,2,0,2,0,0,1,1,2,0,2,0,2,0,0,2,2,0,1,2,1,2,2,2,2,0,0,1,1,1,0,1,2,1,0,2,2,2,0,2,0,0,2,2,2,2,1,1,0,2,0,1,1,2,0,1,2,0,1,1,2,1,2,0,2,1,0,0,1,1,1,0,0,2,1,0,0,1,1,0,2,
Gene031,2,1,2,1,0,2,1,1,1,0,1,1,2,1,0,2,1,0,2,0,2,0,1,1,2,0,0,0,0,2,2,1,1,1,1,1,0,2,1,2,1,0,0,0,2,2,0,2,2,0,0,0,2,2,1,2,1,0,2,1,1,1,2,2,2,1,2,2,1,0,2,2,0,1,1,0,1,2,0,1,0,2,0,2,0,1,1,0,2,1,0,0,0,0,2,0,2,0,1,0,
Gene032,1,0,0,0,1,1,1,2,2,1,1,1,1,2,1,0,2,2,2,2,1,2,0,1,1,0,0,0,0,1,2,1,0,0,0,2,1,1,2,2,0,0,1,0,1,0,2,2,2,0,2,1,2,0,1,0,1,0,0,1,1,0,1,1,2,2,0,2,0,2,2,0,2,2,0,1,0,1,2,1,2,1,1,2,0,1,0,2,2,2,0,1,2,0,0,2,2,0,0,1,
Gene033,0,0,1,0,2,2,2,0,0,2,0,1,0,1,0,1,1,1,1,1,1,2,1,0,2,2,0,0,0,2,2,1,1,2,1,1,1,2,0,1,2,0,2,1,0,2,2,2,0,0,1,0,2,0,0,0,2,2,0,0,1,1,1,2,2,1,2,0,0,0,0,0,2,1,0,1,2,2,0,2,1,1,1,1,1,2,2,0,1,1,0,2,1,2,0,2,2,1,0,2,
Gene034,0,0,2,1,1,1,0,1,1,1,2,2,0,2,2,1,0,0,1,1,2,0,2,2,1,2,0,0,2,2,0,1,0,1,2,0,2,0,1,1,2,2,2,1,2,0,0,1,2,0,2,2,1,0,1,1,1,0,2,1,1,1,2,0,2,1,2,2,0,2,1,2,0,1,0,0,1,2,0,0,1,0,0,1,1,0,1,2,1,0,2,1,2,0,0,0,2,0,2,0,
Gene035,0,1,0,0,2,2,2,0,0,2,1,2,1,0,0,0,2,2,1,1,2,2,1,2,2,2,1,1,1,2,0,2,1,0,1,0,0,1,1,0,1,2,2,1,1,2,1,0,1,1,2,1,1,0,2,0,0,2,1,2,0,1,0,0,2,1,0,1,0,2,1,1,2,2,1,0,1,0,0,0,0,2,2,0,2,2,2,0,1,0,2,2,1,1,1,0,0,0,0,2,
Gene036,1,0,1,0,0,2,1,0,1,0,0,2,2,1,1,1,2,1,2,0,2,1,0,0,0,0,0,2,1,1,2,1,2,1,2,2,0,1,1,2,1,0,1,2,0,0,0,2,2,1,0,1,1,0,1,1,1,0,1,2,1,1,2,1,1,2,2,0,0,1,1,2,0,0,2,2,2,0,0,0,2,2,2,2,0,0,2,2,0,1,0,2,1,2,2,0,0,0,1,2,
Gene037,0,0,1,0,2,2,2,2,2,0,2,2,1,1,1,2,1,0,0,0,1,2,2,2,2,0,0,1,2,2,0,2,1,2,1,2,2,0,2,0,0,1,1,1,1,1,1,2,2,0,1,2,0,1,1,2,1,1,2,2,2,2,0,1,1,0,1,2,0,1,1,0,1,0,1,0,2,0,1,2,1,0,0,2,0,0,1,0,2,1,0,0,2,0,0,1,0,1,0,0,
Gene038,0,0,0,1,1,2,2,0,0,1,0,0,1,0,0,1,0,0,1,1,2,2,2,0,2,2,2,0,2,0,1,2,1,2,2,1,1,1,1,0,2,1,2,1,0,0,2,2,2,2,2,0,0,0,0,1,2,2,1,2,1,1,0,2,1,1,0,1,1,2,1,0,1,0,1,2,1,2,2,2,1,0,1,0,0,0,2,0,1,2,0,2,0,2,1,1,1,2,0,0,
Gene039,1,1,2,0,2,2,2,1,0,1,2,1,0,1,0,0,2,0,2,0,0,2,2,1,1,0,0,2,0,2,2,1,1,1,0,0,0,0,0,2,1,2,0,1,1,1,1,1,0,1,0,0,2,1,0,0,1,0,0,0,1,2,2,0,2,1,2,2,0,2,0,1,2,0,2,1,0,1,2,2,0,0,2,1,2,2,1,1,2,0,1,2,1,2,2,1,1,2,0,1,
Gene040,1,2,1,2,0,1,0,0,0,2,1,2,2,1,2,0,0,0,1,0,1,2,2,1,1,2,0,1,2,2,1,2,1,0,2,2,1,0,0,0,0,1,1,2,0,1,0,0,1,1,2,0,0,0,2,0,0,2,2,2,2,2,1,2,0,1,0,1,1,1,1,2,0,2,1,0,0,0,1,0,0,0,2,2,2,1,2,2,0,0,1,1,1,2,0,2,2,1,1,1,
Gene041,0,2,2,2,1,2,2,2,0,1,0,1,0,1,1,2,1,1,2,2,0,0,2,2,2,0,1,0,2,2,2,1,1,2,2,0,0,2,2,1,1,1,1,1,0,1,1,1,1,2,0,1,0,2,2,0,2,1,2,2,2,0,0,1,0,0,0,2,0,1,1,1,0,0,1,1,0,2,0,2,0,2,1,0,1,1,2,2,0,1,0,0,1,0,0,1,0,0,0,2,
Gene042,0,1,2,2,0,0,2,2,0,1,1,0,1,0,0,0,1,1,0,2,0,2,1,1,2,2,0,0,0,0,2,2,0,2,1,0,1,1,2,2,0,0,1,0,2,0,2,2,2,1,0,2,2,0,0,2,2,1,0,1,2,1,2,2,1,0,1,1,1,1,0,1,0,2,2,1,2,1,0,1,0,2,1,2,1,2,0,2,1,0,0,1,1,0,2,2,1,0,1,1,
Gene043,1,2,0,1,1,2,0,0,1,0,0,0,0,2,1,1,0,2,0,2,2,2,2,1,0,1,1,0,2,1,2,1,1,2,2,2,0,1,1,2,0,1,1,0,0,2,1,2,0,0,1,1,0,2,0,1,2,2,0,1,0,2,1,2,0,2,0,1,1,0,2,1,2,2,0,2,1,0,0,2,2,0,2,1,0,2,0,2,0,1,0,0,1,0,2,1,1,2,1,1,
Gene044,2,2,1,1,0,2,2,2,0,1,0,2,2,1,2,0,2,2,2,2,1,0,1,2,1,0,1,1,1,0,1,0,2,2,0,2,1,2,1,1,0,1,0,1,2,1,0,1,2,2,0,0,1,2,0,1,2,2,0,1,2,0,2,1,2,2,0,2,0,0,1,1,1,1,2,0,0,0,0,0,1,2,0,0,1,0,1,0,1,2,1,0,0,2,1,2,0,1,0,0,
Gene045,0,1,0,0,2,0,2,1,1,0,0,2,0,2,0,1,1,2,2,0,0,1,2,0,1,0,2,0,2,1,1,2,1,0,1,1,0,0,2,2,2,2,1,2,2,1,1,2,0,2,1,1,0,1,0,1,0,2,0,2,2,1,2,1,2,0,2,0,2,0,0,1,0,1,0,1,0,1,2,1,0,1,1,1,2,2,0,0,1,2,2,2,1,1,0,2,0,2,1,0,
Gene046,0,0,0,2,2,0,2,1,2,2,1,0,0,1,2,1,0,2,0,1,1,0,2,1,0,2,0,2,0,0,2,2,2,1,1,0,1,1,0,2,2,0,0,1,2,1,2,0,0,0,0,2,1,2,1,0,1,2,1,0,1,2,2,1,1,2,2,1,0,0,2,1,2,0,0,2,0,0,1,0,1,0,1,2,1,1,1,2,0,1,1,0,2,2,2,2,1,1,0,1,
Gene047,0,2,2,0,0,2,2,1,0,1,2,1,1,1,0,0,0,2,1,0,0,0,1,0,2,0,1,2,1,0,0,2,2,1,1,2,0,2,0,2,0,2,1,2,1,1,1,1,1,1,2,1,0,1,0,0,0,0,2,1,0,0,2,2,2,2,2,2,1,1,0,1,1,2,2,2,2,0,0,0,1,0,1,1,1,2,0,1,1,2,0,2,1,1,0,2,2,0,2,0,
Gene048,0,1,1,0,0,2,0,0,2,0,0,0,2,2,2,2,1,2,1,2,0,1,2,0,0,0,0,2,1,0,1,1,2,1,2,1,1,2,0,1,2,2,2,2,2,1,0,0,0,1,0,0,1,2,1,1,0,0,0,0,1,0,2,1,2,1,1,2,1,2,2,2,2,2,1,0,0,0,1,0,1,0,1,2,1,1,1,0,0,2,2,2,2,1,0,1,0,2,1,1,
Gene049,2,1,2,0,0,2,0,0,1,1,2,2,0,2,2,0,2,0,0,2,2,1,1,0,1,0,0,2,1,2,1,2,1,0,0,1,0,1,1,1,0,1,1,2,1,0,2,0,2,0,0,2,1,0,0,1,2,2,2,2,1,2,2,0,1,1,2,0,2,0,0,0,1,2,1,0,1,0,2,0,1,1,0,2,1,1,2,1,1,1,2,0,2,0,1,2,2,0,0,1,
Gene050,1,0,2,2,0,2,2,1,1,1,1,0,1,2,0,1,0,0,0,1,1,2,2,0,1,2,0,2,0,2,1,0,1,0,0,0,2,2,0,0,2,0,1,0,1,0,2,2,0,2,2,0,0,1,1,2,2,0,0,2,0,2,1,0,1,0,1,1,1,2,1,1,0,0,1,1,0,1,2,2,2,2,0,1,1,2,1,2,0,1,2,0,2,1,2,0,2,1,1,2,
Gene051,1,0,0,0,2,1,1,2,1,0,1,0,1,1,2,1,2,1,1,1,0,1,1,2,0,0,0,1,0,2,1,0,2,1,2,0,1,0,0,0,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,2,1,2,2,0,2,2,0,1,2,2,0,1,0,2,1,1,2,0,1,0,2,2,1,0,0,2,0,2,2,1,2,1,2,0,0,0,2,1,0,2,2,2,1,2,
Gene052,2,1,2,2,0,1,0,2,1,2,0,0,2,0,0,0,2,2,2,1,0,2,1,2,0,1,1,1,0,1,2,1,2,2,1,0,2,2,0,0,0,0,1,1,1,2,2,1,1,2,1,0,2,1,0,0,1,0,0,2,0,1,2,0,2,2,1,1,2,2,0,0,1,1,2,1,2,0,0,2,0,0,2,1,2,0,0,1,1,1,1,0,0,0,1,1,0,2,2,1,
Gene053,0,2,1,2,2,0,2,1,2,2,2,1,0,0,1,0,1,0,1,1,1,2,1,2,0,0,2,2,2,2,1,2,0,2,0,0,2,2,1,1,2,1,1,2,1,0,1,0,0,0,1,1,2,1,2,0,2,0,2,2,1,0,2,1,0,1,2,2,0,1,2,1,1,0,1,2,0,0,0,1,1,0,0,0,2,2,2,0,1,1,1,0,0,1,0,2,0,1,0,0,
Gene054,2,2,2,2,2,2,1,2,0,0,2,1,1,1,0,0,2,0,0,0,0,1,1,0,1,2,1,1,1,2,2,0,2,0,1,2,1,1,0,1,2,2,1,1,2,1,1,0,1,0,2,0,0,2,0,2,1,1,0,2,0,1,2,1,1,1,2,2,1,1,1,0,0,2,1,0,0,2,2,1,0,2,2,2,1,2,0,0,0,0,0,0,0,2,0,1,0,0,2,1,
Gene055,2,1,2,2,2,0,2,1,0,0,2,2,0,1,1,2,0,1,1,1,2,0,2,1,0,2,0,0,1,1,2,0,0,1,1,2,1,2,0,2,0,1,1,1,0,1,1,2,2,2,2,0,1,1,1,1,0,1,0,2,2,0,0,0,2,2,0,1,0,2,0,2,1,1,0,0,0,2,0,2,0,2,0,1,2,2,0,0,0,0,2,1,1,2,0,1,2,1,1,1,
Gene056,2,1,2,2,2,2,2,1,0,0,2,0,1,0,0,0,1,2,1,2,2,0,1,2,0,0,1,1,1,1,2,0,2,1,0,0,1,0,1,2,2,2,0,2,0,0,2,2,0,2,0,1,1,2,0,0,1,1,1,1,1,2,0,0,2,1,1,0,1,2,1,0,2,2,0,2,1,1,1,2,2,0,2,1,2,0,1,1,0,0,1,1,1,2,0,0,2,0,0,0,
Gene057,1,2,0,0,0,2,2,0,1,0,1,0,0,2,1,0,1,0,0,0,2,1,0,0,1,2,1,2,0,1,2,1,2,0,2,1,0,0,2,1,2,2,0,2,1,0,1,0,2,1,2,0,0,2,0,2,2,2,1,1,1,2,2,1,0,2,0,0,1,1,1,2,2,1,2,1,1,0,1,1,2,1,0,2,2,2,1,0,0,0,1,2,0,2,1,0,2,1,1,0,
Gene058,0,0,1,1,1,1,2,2,2,0,1,2,2,2,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,0,2,1,2,0,1,1,2,0,1,0,1,2,2,1,1,1,1,0,0,1,0,2,0,0,1,1,1,1,2,0,1,2,2,2,2,2,0,1,0,2,0,2,2,1,0,0,1,2,1,0,2,0,2,0,0,0,1,2,2,1,2,2,1,0,1,2,2,1,1,2,
Gene059,2,2,0,0,0,2,2,0,0,0,0,2,1,0,2,1,0,2,2,2,0,2,0,1,1,2,1,1,2,1,1,1,0,1,2,2,0,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,2,2,2,2,2,2,1,1,1,2,0,1,2,1,0,1,1,2,2,1,1,1,2,2,0,2,1,2,0,2,0,2,2,0,0,0,1,1,1,0,0,1,0,2,1,
Gene060,0,2,0,2,1,0,0,2,1,1,0,2,1,1,2,2,0,0,2,2,1,2,1,0,0,1,0,1,0,2,0,1,1,2,0,1,1,2,0,0,0,0,1,2,1,1,2,1,0,1,2,0,0,2,1,1,2,1,1,0,0,2,2,2,2,0,0,1,2,0,2,0,0,2,0,2,2,2,1,2,1,1,0,2,1,0,2,1,1,2,0,0,1,1,0,2,1,1,2,0,
Gene061,1,1,2,2,2,1,1,2,0,0,0,1,1,2,1,0,0,2,2,1,2,0,2,0,1,1,0,1,2,2,0,0,2,1,1,1,2,1,1,2,2,2,1,1,2,0,0,2,0,0,1,2,1,2,1,1,2,2,0,0,2,0,0,0,2,0,0,2,0,1,1,2,2,2,1,0,0,1,1,0,1,1,2,0,0,0,1,0,2,0,0,0,1,0,2,1,1,2,2,0,
Gene062,1,1,2,1,1,2,2,2,1,2,2,1,0,0,1,0,1,0,2,2,2,1,1,1,2,0,0,1,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,0,1,0,0,2,0,0,2,2,0,2,0,2,0,2,1,0,1,2,0,2,2,1,1,0,2,1,2,1,1,1,1,0,1,2,0,2,1,1,0,0,1,0,1,1,1,0,2,0,1,2,2,1,2,2,2,1,
